natx =      691
    x       y        z       iph  
      0.00000      4.44490      6.66735   2      8.01316
      0.00000     -4.44490      6.66735   2      8.01316
      6.66735      0.00000     -4.44490   2      8.01316
     -6.66735      0.00000     -4.44490   2      8.01316
      0.00000      6.66735     -4.44490   2      8.01316
      0.00000     -6.66735     -4.44490   2      8.01316
      4.44490      0.00000     -6.66735   2      8.01316
     -4.44490      0.00000     -6.66735   2      8.01316
      0.00000      4.44490     -6.66735   2      8.01316
      0.00000     -4.44490     -6.66735   2      8.01316
      6.66735      4.44490      2.22245   1      8.31565
     -6.66735      4.44490      2.22245   1      8.31565
      4.44490      6.66735      2.22245   1      8.31565
     -4.44490      6.66735      2.22245   1      8.31565
      6.66735     -4.44490      2.22245   1      8.31565
     -6.66735     -4.44490      2.22245   1      8.31565
      4.44490     -6.66735      2.22245   1      8.31565
     -4.44490     -6.66735      2.22245   1      8.31565
      6.66735      2.22245      4.44490   1      8.31565
     -6.66735      2.22245      4.44490   1      8.31565
      2.22245      6.66735      4.44490   1      8.31565
     -2.22245      6.66735      4.44490   1      8.31565
      6.66735     -2.22245      4.44490   1      8.31565
     -6.66735     -2.22245      4.44490   1      8.31565
      2.22245     -6.66735      4.44490   1      8.31565
     -2.22245     -6.66735      4.44490   1      8.31565
      4.44490      2.22245      6.66735   1      8.31565
     -4.44490      2.22245      6.66735   1      8.31565
      2.22245      4.44490      6.66735   1      8.31565
     -2.22245      4.44490      6.66735   1      8.31565
      4.44490     -2.22245      6.66735   1      8.31565
     -4.44490     -2.22245      6.66735   1      8.31565
      2.22245     -4.44490      6.66735   1      8.31565
     -2.22245     -4.44490      6.66735   1      8.31565
      6.66735      4.44490     -2.22245   1      8.31565
     -6.66735      4.44490     -2.22245   1      8.31565
      4.44490      6.66735     -2.22245   1      8.31565
     -4.44490      6.66735     -2.22245   1      8.31565
      6.66735     -4.44490     -2.22245   1      8.31565
     -6.66735     -4.44490     -2.22245   1      8.31565
      4.44490     -6.66735     -2.22245   1      8.31565
     -4.44490     -6.66735     -2.22245   1      8.31565
      6.66735      2.22245     -4.44490   1      8.31565
     -6.66735      2.22245     -4.44490   1      8.31565
      2.22245      6.66735     -4.44490   1      8.31565
     -2.22245      6.66735     -4.44490   1      8.31565
      6.66735     -2.22245     -4.44490   1      8.31565
     -6.66735     -2.22245     -4.44490   1      8.31565
      2.22245     -6.66735     -4.44490   1      8.31565
     -2.22245     -6.66735     -4.44490   1      8.31565
      4.44490      2.22245     -6.66735   1      8.31565
     -4.44490      2.22245     -6.66735   1      8.31565
      2.22245      4.44490     -6.66735   1      8.31565
     -2.22245      4.44490     -6.66735   1      8.31565
      4.44490     -2.22245     -6.66735   1      8.31565
     -4.44490     -2.22245     -6.66735   1      8.31565
      2.22245     -4.44490     -6.66735   1      8.31565
