natx =      705
    x       y        z       iph  
     -4.05825      1.35275     -6.76375   2      8.00298
      1.35275      4.05825     -6.76375   2      8.00298
     -1.35275      4.05825     -6.76375   2      8.00298
      4.05825     -1.35275     -6.76375   2      8.00298
     -4.05825     -1.35275     -6.76375   2      8.00298
      1.35275     -4.05825     -6.76375   2      8.00298
     -1.35275     -4.05825     -6.76375   2      8.00298
      8.11650      2.70550      0.00000   1      8.55554
     -8.11650      2.70550      0.00000   1      8.55554
      2.70550      8.11650      0.00000   1      8.55554
     -2.70550      8.11650      0.00000   1      8.55554
      8.11650     -2.70550      0.00000   1      8.55554
     -8.11650     -2.70550      0.00000   1      8.55554
      2.70550     -8.11650      0.00000   1      8.55554
     -2.70550     -8.11650      0.00000   1      8.55554
      8.11650      0.00000      2.70550   1      8.55554
     -8.11650      0.00000      2.70550   1      8.55554
      0.00000      8.11650      2.70550   1      8.55554
      0.00000     -8.11650      2.70550   1      8.55554
      2.70550      0.00000      8.11650   1      8.55554
     -2.70550      0.00000      8.11650   1      8.55554
      0.00000      2.70550      8.11650   1      8.55554
      0.00000     -2.70550      8.11650   1      8.55554
      8.11650      0.00000     -2.70550   1      8.55554
     -8.11650      0.00000     -2.70550   1      8.55554
      0.00000      8.11650     -2.70550   1      8.55554
      0.00000     -8.11650     -2.70550   1      8.55554
      2.70550      0.00000     -8.11650   1      8.55554
     -2.70550      0.00000     -8.11650   1      8.55554
      0.00000      2.70550     -8.11650   1      8.55554
      0.00000     -2.70550     -8.11650   1      8.55554
      6.76375      4.05825      4.05825   2      8.87057
     -6.76375      4.05825      4.05825   2      8.87057
      4.05825      6.76375      4.05825   2      8.87057
     -4.05825      6.76375      4.05825   2      8.87057
      6.76375     -4.05825      4.05825   2      8.87057
     -6.76375     -4.05825      4.05825   2      8.87057
      4.05825     -6.76375      4.05825   2      8.87057
     -4.05825     -6.76375      4.05825   2      8.87057
      4.05825      4.05825      6.76375   2      8.87057
     -4.05825      4.05825      6.76375   2      8.87057
      4.05825     -4.05825      6.76375   2      8.87057
     -4.05825     -4.05825      6.76375   2      8.87057
      6.76375      4.05825     -4.05825   2      8.87057
     -6.76375      4.05825     -4.05825   2      8.87057
      4.05825      6.76375     -4.05825   2      8.87057
     -4.05825      6.76375     -4.05825   2      8.87057
      6.76375     -4.05825     -4.05825   2      8.87057
     -6.76375     -4.05825     -4.05825   2      8.87057
      4.05825     -6.76375     -4.05825   2      8.87057
     -4.05825     -6.76375     -4.05825   2      8.87057
      4.05825      4.05825     -6.76375   2      8.87057
     -4.05825      4.05825     -6.76375   2      8.87057
      4.05825     -4.05825     -6.76375   2      8.87057
     -4.05825     -4.05825     -6.76375   2      8.87057
      5.41100      5.41100      5.41100   1      9.37213
     -5.41100      5.41100      5.41100   1      9.37213
      5.41100     -5.41100      5.41100   1      9.37213
     -5.41100     -5.41100      5.41100   1      9.37213
      5.41100      5.41100     -5.41100   1      9.37213
     -5.41100      5.41100     -5.41100   1      9.37213
      5.41100     -5.41100     -5.41100   1      9.37213
     -5.41100     -5.41100     -5.41100   1      9.37213
      9.46925      1.35275      1.35275   2      9.66057
     -9.46925      1.35275      1.35275   2      9.66057
      6.76375      6.76375      1.35275   2      9.66057
     -6.76375      6.76375      1.35275   2      9.66057
      1.35275      9.46925      1.35275   2      9.66057
     -1.35275      9.46925      1.35275   2      9.66057
      9.46925     -1.35275      1.35275   2      9.66057
     -9.46925     -1.35275      1.35275   2      9.66057
      6.76375     -6.76375      1.35275   2      9.66057
     -6.76375     -6.76375      1.35275   2      9.66057
      1.35275     -9.46925      1.35275   2      9.66057
     -1.35275     -9.46925      1.35275   2      9.66057
      6.76375      1.35275      6.76375   2      9.66057
     -6.76375      1.35275      6.76375   2      9.66057
      1.35275      6.76375      6.76375   2      9.66057
     -1.35275      6.76375      6.76375   2      9.66057
      6.76375     -1.35275      6.76375   2      9.66057
     -6.76375     -1.35275      6.76375   2      9.66057
      1.35275     -6.76375      6.76375   2      9.66057
     -1.35275     -6.76375      6.76375   2      9.66057
      1.35275      1.35275      9.46925   2      9.66057
     -1.35275      1.35275      9.46925   2      9.66057
      1.35275     -1.35275      9.46925   2      9.66057
     -1.35275     -1.35275      9.46925   2      9.66057
      9.46925      1.35275     -1.35275   2      9.66057
     -9.46925      1.35275     -1.35275   2      9.66057
      6.76375      6.76375     -1.35275   2      9.66057
     -6.76375      6.76375     -1.35275   2      9.66057
      1.35275      9.46925     -1.35275   2      9.66057
     -1.35275      9.46925     -1.35275   2      9.66057
      9.46925     -1.35275     -1.35275   2      9.66057
     -9.46925     -1.35275     -1.35275   2      9.66057
      6.76375     -6.76375     -1.35275   2      9.66057
     -6.76375     -6.76375     -1.35275   2      9.66057
      1.35275     -9.46925     -1.35275   2      9.66057
     -1.35275     -9.46925     -1.35275   2      9.66057
      6.76375      1.35275     -6.76375   2      9.66057
     -6.76375      1.35275     -6.76375   2      9.66057
      1.35275      6.76375     -6.76375   2      9.66057
     -1.35275      6.76375     -6.76375   2      9.66057
      6.76375     -1.35275     -6.76375   2      9.66057
