     6.8500   -7.023438E-02  7.245277E-02  2.331385E+01
     6.9000   -6.936228E-02  6.953265E-02  2.363196E+01
     6.9500   -6.075977E-02  6.569647E-02  2.395208E+01
     7.0000   -4.621923E-02  6.102433E-02  2.427343E+01
     7.0500   -2.839822E-02  5.561145E-02  2.459680E+01
     7.1000   -1.053092E-02  4.957503E-02  2.491869E+01
     7.1500    4.502242E-03  4.305203E-02  2.523751E+01
     7.2000    1.469047E-02  3.618828E-02  2.555075E+01
     7.2500    1.923703E-02  2.913671E-02  2.585387E+01
     7.3000    1.861560E-02  2.206054E-02  2.613714E+01
     7.3500    1.434376E-02  1.515519E-02  2.637483E+01
     7.4000    8.544016E-03  8.777224E-03  2.647250E+01
     7.4500    3.406956E-03  4.566639E-03  2.597486E+01
     7.5000    6.851127E-04  6.903984E-03  2.523214E+01
     7.5500    1.439026E-03  1.186278E-02  2.525435E+01
     7.6000    5.560191E-03  1.673943E-02  2.547134E+01
     7.6500    1.213107E-02  2.113247E-02  2.574418E+01
     7.7000    1.962009E-02  2.492549E-02  2.603892E+01
     7.7500    2.627160E-02  2.807046E-02  2.634359E+01
     7.8000    3.051143E-02  3.055058E-02  2.665291E+01
     7.8500    3.127737E-02  3.236967E-02  2.696406E+01
     7.9000    2.821071E-02  3.354752E-02  2.727536E+01
     7.9500    2.168274E-02  3.411698E-02  2.758562E+01
     8.0000    1.266877E-02  3.412167E-02  2.789394E+01
     8.0500    2.524779E-03  3.373656E-02  2.819943E+01
     8.1000   -7.395546E-03  3.290661E-02  2.850101E+01
     8.1500   -1.584402E-02  3.169385E-02  2.879783E+01
     8.2000   -2.194165E-02  3.016456E-02  2.908886E+01
     8.2500   -2.528150E-02  2.838830E-02  2.937291E+01
     8.3000   -2.592801E-02  2.643720E-02  2.964855E+01
     8.3500   -2.432758E-02  2.438547E-02  2.991405E+01
     8.4000   -2.116048E-02  2.230911E-02  3.016742E+01
     8.4500   -1.717255E-02  2.028538E-02  3.040646E+01
     8.5000   -1.302345E-02  1.839149E-02  3.062909E+01
     8.5500   -9.247687E-03  1.682000E-02  3.083380E+01
     8.6000   -5.967635E-03  1.551118E-02  3.102101E+01
     8.6500   -3.195349E-03  1.451489E-02  3.119397E+01
     8.7000   -7.866473E-04  1.384914E-02  3.135909E+01
     8.7500    1.466497E-03  1.349118E-02  3.152484E+01
     8.8000    3.740069E-03  1.338034E-02  3.169922E+01
     8.8500    6.103711E-03  1.343268E-02  3.188762E+01
     8.9000    8.486008E-03  1.355975E-02  3.209211E+01
     8.9500    1.068611E-02  1.368300E-02  3.231216E+01
     9.0000    1.242593E-02  1.374095E-02  3.254566E+01
     9.0500    1.357635E-02  1.384104E-02  3.279084E+01
     9.1000    1.378925E-02  1.381254E-02  3.304481E+01
     9.1500    1.295453E-02  1.363853E-02  3.330477E+01
     9.2000    1.112749E-02  1.331509E-02  3.356810E+01
     9.2500    8.522807E-03  1.284930E-02  3.383231E+01
     9.3000    5.469471E-03  1.225742E-02  3.409499E+01
     9.3500    2.340325E-03  1.156312E-02  3.435372E+01
     9.4000   -5.238833E-04  1.079581E-02  3.460606E+01
