# Orientation sensitive EELS calculation - beam energy =   300.keV
# Sample to beam orientation :    0.000    1.000    0.000
# Collection and convergence semiangle:      2.400      0.000   ; # points:     5 x 3
# Detector position:     0.0000     0.0000
# Units are a_0^2 / eV.  Multiply by 28.00 10^-18  to get cm^-2 / eV.  Or by 28 to get Mbarn / eV.
# Relativistic and cross-terms.
# # POT  SCF 100  4.0000   0, screened core-hole, AFOLP (folp(0)= 1.150)                            
# # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00                                           
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000                                
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00                                           
#  Energy       total         atomic-bg     fine-struct   xx            xy            xz            yx            yy            yz            zx            zy            zz
   9017.26      0.473688E-11  0.521601E-11 -0.479128E-12  0.967021E-13  0.322630E-35  0.897047E-37  0.266206E-35  0.454362E-11  0.451390E-35  0.955822E-37  0.460794E-35  0.965608E-13
   9018.32      0.477939E-11  0.522328E-11 -0.443890E-12  0.975545E-13  0.439184E-35  0.185156E-36  0.418025E-35  0.458476E-11  0.583045E-35  0.255686E-36  0.648873E-35  0.970756E-13
   9019.39      0.483434E-11  0.522585E-11 -0.391507E-12  0.986572E-13  0.293406E-35  0.159126E-36  0.286353E-35  0.463771E-11  0.460794E-35  0.123861E-36  0.498410E-35  0.979689E-13
   9020.49      0.491327E-11  0.522839E-11 -0.315127E-12  0.100245E-12  0.115677E-35  0.583942E-37  0.986323E-36  0.471353E-11  0.202185E-35  0.583942E-37  0.202185E-35  0.994972E-13
   9021.60      0.500158E-11  0.523089E-11 -0.229305E-12  0.102020E-12  0.645230E-36  0.284371E-37  0.545313E-36  0.479820E-11  0.940395E-36  0.247637E-37  0.952150E-36  0.101358E-12
   9022.74      0.508836E-11  0.523334E-11 -0.144980E-12  0.103761E-12  0.464612E-36  0.244542E-37  0.464612E-36  0.488130E-11  0.940395E-36  0.244542E-37  0.112847E-35  0.103297E-12
   9023.89      0.517139E-11  0.523443E-11 -0.630377E-13  0.105423E-12 -0.795411E-37  0.510752E-38 -0.102316E-36  0.496078E-11  0.293874E-36  0.510752E-38  0.287996E-36  0.105193E-12
   9025.06      0.524913E-11  0.523548E-11  0.136443E-13  0.106975E-12 -0.747242E-36 -0.245900E-37 -0.932383E-36  0.503514E-11 -0.646522E-36 -0.385490E-37 -0.646522E-36  0.107008E-12
   9026.25      0.531894E-11  0.523650E-11  0.824392E-13  0.108364E-12 -0.114423E-35 -0.486955E-37 -0.152627E-35  0.510193E-11 -0.152814E-35 -0.545730E-37 -0.152814E-35  0.108651E-12
   9027.46      0.537690E-11  0.523746E-11  0.139439E-12  0.109513E-12 -0.132798E-35 -0.873231E-37 -0.136913E-35  0.515739E-11 -0.169271E-35 -0.873231E-37 -0.183377E-35  0.109997E-12
