natx =      461
    x       y        z       iph  
     -4.16840     -6.25260     -2.08420   1      7.79836
      6.25260      2.08420     -4.16840   1      7.79836
     -6.25260      2.08420     -4.16840   1      7.79836
      2.08420      6.25260     -4.16840   1      7.79836
     -2.08420      6.25260     -4.16840   1      7.79836
      6.25260     -2.08420     -4.16840   1      7.79836
     -6.25260     -2.08420     -4.16840   1      7.79836
      2.08420     -6.25260     -4.16840   1      7.79836
     -2.08420     -6.25260     -4.16840   1      7.79836
      4.16840      2.08420     -6.25260   1      7.79836
     -4.16840      2.08420     -6.25260   1      7.79836
      2.08420      4.16840     -6.25260   1      7.79836
     -2.08420      4.16840     -6.25260   1      7.79836
      4.16840     -2.08420     -6.25260   1      7.79836
     -4.16840     -2.08420     -6.25260   1      7.79836
      2.08420     -4.16840     -6.25260   1      7.79836
     -2.08420     -4.16840     -6.25260   1      7.79836
      8.33680      0.00000      0.00000   1      8.33680
     -8.33680      0.00000      0.00000   1      8.33680
      0.00000      8.33680      0.00000   1      8.33680
      0.00000     -8.33680      0.00000   1      8.33680
      0.00000      0.00000      8.33680   1      8.33680
      0.00000      0.00000     -8.33680   1      8.33680
      8.33680      2.08420      0.00000   2      8.59338
     -8.33680      2.08420      0.00000   2      8.59338
      2.08420      8.33680      0.00000   2      8.59338
     -2.08420      8.33680      0.00000   2      8.59338
      8.33680     -2.08420      0.00000   2      8.59338
     -8.33680     -2.08420      0.00000   2      8.59338
      2.08420     -8.33680      0.00000   2      8.59338
     -2.08420     -8.33680      0.00000   2      8.59338
      8.33680      0.00000      2.08420   2      8.59338
     -8.33680      0.00000      2.08420   2      8.59338
      0.00000      8.33680      2.08420   2      8.59338
      0.00000     -8.33680      2.08420   2      8.59338
      6.25260      4.16840      4.16840   2      8.59338
     -6.25260      4.16840      4.16840   2      8.59338
      4.16840      6.25260      4.16840   2      8.59338
     -4.16840      6.25260      4.16840   2      8.59338
      6.25260     -4.16840      4.16840   2      8.59338
     -6.25260     -4.16840      4.16840   2      8.59338
      4.16840     -6.25260      4.16840   2      8.59338
     -4.16840     -6.25260      4.16840   2      8.59338
      4.16840      4.16840      6.25260   2      8.59338
     -4.16840      4.16840      6.25260   2      8.59338
      4.16840     -4.16840      6.25260   2      8.59338
     -4.16840     -4.16840      6.25260   2      8.59338
      2.08420      0.00000      8.33680   2      8.59338
     -2.08420      0.00000      8.33680   2      8.59338
      0.00000      2.08420      8.33680   2      8.59338
      0.00000     -2.08420      8.33680   2      8.59338
      8.33680      0.00000     -2.08420   2      8.59338
     -8.33680      0.00000     -2.08420   2      8.59338
      0.00000      8.33680     -2.08420   2      8.59338
      0.00000     -8.33680     -2.08420   2      8.59338
      6.25260      4.16840     -4.16840   2      8.59338
     -6.25260      4.16840     -4.16840   2      8.59338
      4.16840      6.25260     -4.16840   2      8.59338
     -4.16840      6.25260     -4.16840   2      8.59338
      6.25260     -4.16840     -4.16840   2      8.59338
     -6.25260     -4.16840     -4.16840   2      8.59338
      4.16840     -6.25260     -4.16840   2      8.59338
     -4.16840     -6.25260     -4.16840   2      8.59338
      4.16840      4.16840     -6.25260   2      8.59338
     -4.16840      4.16840     -6.25260   2      8.59338
      4.16840     -4.16840     -6.25260   2      8.59338
     -4.16840     -4.16840     -6.25260   2      8.59338
      2.08420      0.00000     -8.33680   2      8.59338
     -2.08420      0.00000     -8.33680   2      8.59338
      0.00000      2.08420     -8.33680   2      8.59338
      0.00000     -2.08420     -8.33680   2      8.59338
      6.25260      6.25260      0.00000   1      8.84251
     -6.25260      6.25260      0.00000   1      8.84251
      6.25260     -6.25260      0.00000   1      8.84251
     -6.25260     -6.25260      0.00000   1      8.84251
      8.33680      2.08420      2.08420   1      8.84251
     -8.33680      2.08420      2.08420   1      8.84251
      2.08420      8.33680      2.08420   1      8.84251
     -2.08420      8.33680      2.08420   1      8.84251
      8.33680     -2.08420      2.08420   1      8.84251
     -8.33680     -2.08420      2.08420   1      8.84251
      2.08420     -8.33680      2.08420   1      8.84251
     -2.08420     -8.33680      2.08420   1      8.84251
      6.25260      0.00000      6.25260   1      8.84251
     -6.25260      0.00000      6.25260   1      8.84251
      0.00000      6.25260      6.25260   1      8.84251
      0.00000     -6.25260      6.25260   1      8.84251
      2.08420      2.08420      8.33680   1      8.84251
     -2.08420      2.08420      8.33680   1      8.84251
      2.08420     -2.08420      8.33680   1      8.84251
     -2.08420     -2.08420      8.33680   1      8.84251
      8.33680      2.08420     -2.08420   1      8.84251
     -8.33680      2.08420     -2.08420   1      8.84251
      2.08420      8.33680     -2.08420   1      8.84251
     -2.08420      8.33680     -2.08420   1      8.84251
      8.33680     -2.08420     -2.08420   1      8.84251
     -8.33680     -2.08420     -2.08420   1      8.84251
      2.08420     -8.33680     -2.08420   1      8.84251
     -2.08420     -8.33680     -2.08420   1      8.84251
      6.25260      0.00000     -6.25260   1      8.84251
     -6.25260      0.00000     -6.25260   1      8.84251
      0.00000      6.25260     -6.25260   1      8.84251
      0.00000     -6.25260     -6.25260   1      8.84251
      2.08420      2.08420     -8.33680   1      8.84251
     -2.08420      2.08420     -8.33680   1      8.84251
      2.08420     -2.08420     -8.33680   1      8.84251
     -2.08420     -2.08420     -8.33680   1      8.84251
      6.25260      6.25260      2.08420   2      9.08482
     -6.25260      6.25260      2.08420   2      9.08482
      6.25260     -6.25260      2.08420   2      9.08482
     -6.25260     -6.25260      2.08420   2      9.08482
      6.25260      2.08420      6.25260   2      9.08482
     -6.25260      2.08420      6.25260   2      9.08482
      2.08420      6.25260      6.25260   2      9.08482
     -2.08420      6.25260      6.25260   2      9.08482
      6.25260     -2.08420      6.25260   2      9.08482
     -6.25260     -2.08420      6.25260   2      9.08482
      2.08420     -6.25260      6.25260   2      9.08482
     -2.08420     -6.25260      6.25260   2      9.08482
      6.25260      6.25260     -2.08420   2      9.08482
     -6.25260      6.25260     -2.08420   2      9.08482
      6.25260     -6.25260     -2.08420   2      9.08482
     -6.25260     -6.25260     -2.08420   2      9.08482
      6.25260      2.08420     -6.25260   2      9.08482
     -6.25260      2.08420     -6.25260   2      9.08482
      2.08420      6.25260     -6.25260   2      9.08482
     -2.08420      6.25260     -6.25260   2      9.08482
      6.25260     -2.08420     -6.25260   2      9.08482
     -6.25260     -2.08420     -6.25260   2      9.08482
      2.08420     -6.25260     -6.25260   2      9.08482
     -2.08420     -6.25260     -6.25260   2      9.08482
      8.33680      4.16840      0.00000   1      9.32083
     -8.33680      4.16840      0.00000   1      9.32083
      4.16840      8.33680      0.00000   1      9.32083
     -4.16840      8.33680      0.00000   1      9.32083
      8.33680     -4.16840      0.00000   1      9.32083
     -8.33680     -4.16840      0.00000   1      9.32083
      4.16840     -8.33680      0.00000   1      9.32083
     -4.16840     -8.33680      0.00000   1      9.32083
      8.33680      0.00000      4.16840   1      9.32083
     -8.33680      0.00000      4.16840   1      9.32083
      0.00000      8.33680      4.16840   1      9.32083
      0.00000     -8.33680      4.16840   1      9.32083
      4.16840      0.00000      8.33680   1      9.32083
     -4.16840      0.00000      8.33680   1      9.32083
      0.00000      4.16840      8.33680   1      9.32083
      0.00000     -4.16840      8.33680   1      9.32083
      8.33680      0.00000     -4.16840   1      9.32083
     -8.33680      0.00000     -4.16840   1      9.32083
      0.00000      8.33680     -4.16840   1      9.32083
      0.00000     -8.33680     -4.16840   1      9.32083
      4.16840      0.00000     -8.33680   1      9.32083
     -4.16840      0.00000     -8.33680   1      9.32083
      0.00000      4.16840     -8.33680   1      9.32083
      0.00000     -4.16840     -8.33680   1      9.32083
      8.33680      4.16840      2.08420   2      9.55100
