# Orientation sensitive EELS calculation - beam energy =   300.keV
# Sample to beam orientation :    0.000    1.000    0.000
# Collection and convergence semiangle:      2.400      0.000   ; # points:     5 x 3
# Detector position:     0.0000     0.0000
# Units are a_0^2 / eV.  Multiply by 28.00 10^-18  to get cm^-2 / eV.  Or by 28 to get Mbarn / eV.
# Relativistic and cross-terms.
# # POT  SCF 100  4.0000   0, screened core-hole, AFOLP (folp(0)= 1.150)                            
# # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00                                           
# FMS rfms= 7.0000                                                                                  
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000                                
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00                                           
#  Energy       total         atomic-bg     fine-struct   xx            xy            xz            yx            yy            yz            zx            zy            zz
   9029.69      0.562590E-11  0.523338E-11  0.392521E-12  0.114539E-12  0.733473E-35  0.106888E-36 -0.136260E-34  0.539682E-11  0.573053E-37 -0.478782E-37  0.489006E-35  0.114539E-12
   9031.46      0.566821E-11  0.523608E-11  0.432137E-12  0.115356E-12  0.228954E-35 -0.254233E-36 -0.674536E-35  0.543750E-11  0.109086E-34  0.134513E-36 -0.545429E-35  0.115356E-12
   9033.27      0.559491E-11  0.523727E-11  0.357645E-12  0.113820E-12  0.105569E-34  0.220999E-37 -0.365903E-35  0.536727E-11  0.789932E-35 -0.212666E-36  0.272715E-35  0.113820E-12
   9035.12      0.541690E-11  0.523926E-11  0.177636E-12  0.110154E-12  0.217733E-35  0.119648E-36 -0.272816E-35  0.519659E-11  0.639469E-35 -0.296267E-36 -0.822846E-36  0.110154E-12
   9037.00      0.518690E-11  0.524125E-11 -0.543521E-13  0.105434E-12 -0.238843E-35  0.153639E-36 -0.248354E-36  0.497603E-11  0.148112E-35 -0.328538E-37 -0.752316E-35  0.105434E-12
   9038.93      0.496287E-11  0.523839E-11 -0.275528E-12  0.100839E-12 -0.189960E-35 -0.265446E-36 -0.194574E-35  0.476119E-11  0.190430E-35 -0.113743E-36 -0.152814E-35  0.100839E-12
   9040.89      0.479116E-11  0.523920E-11 -0.448042E-12  0.973085E-13 -0.177525E-34  0.225911E-37  0.102929E-34  0.459654E-11  0.611257E-35  0.959993E-37 -0.837540E-37  0.973085E-13
   9042.89      0.468683E-11  0.524339E-11 -0.556552E-12  0.951485E-13 -0.148884E-34 -0.305269E-37  0.379294E-35  0.449654E-11 -0.340893E-36 -0.117101E-36 -0.315032E-35  0.951485E-13
   9044.92      0.465514E-11  0.524713E-11 -0.591989E-12  0.944631E-13 -0.151878E-34  0.255325E-36 -0.218449E-35  0.446621E-11  0.272715E-35 -0.287941E-36  0.185140E-36  0.944631E-13
   9046.99      0.469417E-11  0.525060E-11 -0.556427E-12  0.952125E-13 -0.157431E-34 -0.185095E-36  0.316797E-35  0.450375E-11  0.225695E-35 -0.481047E-36  0.789932E-35  0.952125E-13
   9049.10      0.478802E-11  0.525516E-11 -0.467144E-12  0.970723E-13  0.298477E-35 -0.198999E-36 -0.202943E-35  0.459388E-11 -0.277417E-35 -0.559648E-37 -0.115198E-35  0.970723E-13
