# Loss function from file ../../../EpsInv/opconsKK.dat located in directory
# /home/hebhop/Research/SE_Runs/Cu/Feff/FMS/NewFEFF90
#
# Header from ../../../EpsInv/opconsKK.dat
###############################################################################################
# name:     copper
# formula:  Cu
# sites:    Cu1
# refer1:   Kittel, ISSP
# refer2:
# schoen:
# notes1:   metal, fcc
# POT  SCF  30  5.8000   0, core-hole, AFOLP (folp(0)= 1.150)
#   omega (eV)      epsilon_1       epsilon_2       n               kappa           mu (cm^(-1))    R               epsinv   
###############################################################################################
#
# omega	-Im[eps**{-1}]
0.572676E+02 0.326568E+00
0.578023E+02 0.324057E+00
0.583397E+02 0.321620E+00
0.588798E+02 0.319235E+00
0.594227E+02 0.316929E+00
0.599683E+02 0.314773E+00
0.605166E+02 0.312288E+00
0.610676E+02 0.309768E+00
0.616214E+02 0.307227E+00
0.621779E+02 0.304481E+00
0.627371E+02 0.301804E+00
0.632990E+02 0.298937E+00
0.638636E+02 0.295927E+00
0.644310E+02 0.293007E+00
0.650010E+02 0.289704E+00
0.655738E+02 0.286389E+00
0.661494E+02 0.282963E+00
0.667276E+02 0.279144E+00
0.673086E+02 0.275226E+00
0.678923E+02 0.271142E+00
0.684787E+02 0.266931E+00
0.690678E+02 0.262647E+00
0.696596E+02 0.258306E+00
0.702542E+02 0.253880E+00
0.708515E+02 0.249397E+00
0.714515E+02 0.244872E+00
0.720542E+02 0.240197E+00
0.726597E+02 0.235207E+00
0.732678E+02 0.229722E+00
0.738787E+02 0.223195E+00
0.744924E+02 0.213865E+00
0.751000E+02 0.241625E+00
0.751014E+02 0.241656E+00
0.751054E+02 0.241926E+00
0.751122E+02 0.242461E+00
0.751218E+02 0.243252E+00
0.751340E+02 0.244281E+00
0.751490E+02 0.245522E+00
0.751667E+02 0.246950E+00
0.751871E+02 0.248538E+00
0.752102E+02 0.250234E+00
0.752361E+02 0.251980E+00
0.752646E+02 0.253762E+00
0.752959E+02 0.255559E+00
0.753299E+02 0.257333E+00
0.753667E+02 0.259062E+00
0.754061E+02 0.260844E+00
0.754483E+02 0.261203E+00
0.754932E+02 0.261197E+00
0.755408E+02 0.261188E+00
