# Orientation sensitive EELS calculation - beam energy =   300.keV
# Sample to beam orientation :    0.000    0.000    1.000
# Collection and convergence semiangle:      1.100      0.300   ; # points:   100 x 1
# Detector position:     0.0000     0.0000
# Units are a_0^2 / eV.  Multiply by 28.00 10^-18  to get cm^-2 / eV.  Or by 28 to get Mbarn / eV.
# Relativistic and cross-terms.
# # POT  SCF 100  4.5000   0, screened core-hole, AFOLP (folp(0)= 1.150)                            
# # Gam_ch=8.676E-02 H-L exch Vi= 4.000E-01 Vr= 1.000E+00                                           
# FMS rfms= 6.0000                                                                                  
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000                                
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00                                           
#  Energy       total         atomic-bg     fine-struct   xx            xy            xz            yx            yy            yz            zx            zy            zz
   284.576      0.542648E-06  0.119167E-05 -0.649026E-06  0.873014E-07 -0.102393E-25 -0.264723E-16 -0.583891E-26  0.876997E-07 -0.123917E-30 -0.183440E-16 -0.197230E-30  0.367647E-06
   285.099      0.564760E-06  0.114667E-05 -0.581909E-06  0.111082E-06 -0.936994E-26  0.778241E-17  0.421104E-28  0.111705E-06  0.250147E-30  0.411717E-17  0.253161E-30  0.341973E-06
   285.642      0.607914E-06  0.110408E-05 -0.496163E-06  0.137479E-06 -0.202502E-25  0.316743E-16 -0.314801E-26  0.138454E-06  0.625273E-30  0.695447E-17  0.242012E-30  0.331981E-06
   286.204      0.659172E-06  0.106381E-05 -0.404636E-06  0.161962E-06  0.350729E-26  0.106565E-16  0.428200E-26  0.161468E-06 -0.115549E-30  0.439186E-17 -0.359299E-31  0.335742E-06
   286.785      0.684442E-06  0.102576E-05 -0.341317E-06  0.199420E-06  0.151871E-26  0.509996E-16  0.648320E-27  0.199231E-06  0.293788E-30  0.295737E-16  0.311246E-31  0.285790E-06
   287.385      0.809363E-06  0.989829E-06 -0.180466E-06  0.270660E-06  0.625360E-26 -0.537223E-16  0.464658E-26  0.270325E-06 -0.176187E-29 -0.654813E-16 -0.107461E-29  0.268379E-06
   288.005      0.114850E-05  0.955929E-06  0.192567E-06  0.440464E-06 -0.239746E-25  0.437927E-16 -0.709216E-26  0.441691E-06 -0.198153E-30  0.570974E-16  0.153356E-29  0.266341E-06
   288.643      0.180087E-05  0.923917E-06  0.876954E-06  0.782139E-06  0.418253E-25 -0.820268E-17  0.219218E-25  0.779948E-06 -0.170630E-30 -0.138012E-16 -0.334192E-30  0.238783E-06
   289.300      0.241336E-05  0.893681E-06  0.151968E-05  0.109298E-05 -0.284182E-25 -0.498150E-16 -0.296531E-25  0.109510E-05 -0.101926E-29 -0.564171E-17 -0.111622E-30  0.225280E-06
   289.976      0.221530E-05  0.865159E-06  0.135014E-05  0.100360E-05  0.673593E-27  0.205793E-16  0.137174E-26  0.100334E-05  0.169035E-29  0.632234E-16  0.874346E-30  0.208362E-06
   290.672      0.157843E-05  0.838200E-06  0.740229E-06  0.693038E-06  0.117874E-25 -0.432559E-16  0.527263E-26  0.691805E-06 -0.978401E-30 -0.275251E-16 -0.391185E-30  0.193586E-06
   291.386      0.126758E-05  0.812691E-06  0.454891E-06  0.551267E-06  0.504350E-25  0.267847E-16  0.142657E-25  0.548623E-06  0.749630E-30  0.320118E-16  0.282947E-30  0.167691E-06
   292.119      0.129698E-05  0.788586E-06  0.508390E-06  0.577697E-06 -0.967315E-25 -0.273178E-17 -0.150383E-24  0.584762E-06  0.214738E-30  0.164941E-16  0.949246E-31  0.134517E-06
   292.872      0.139338E-05  0.765766E-06  0.627614E-06  0.638156E-06 -0.740812E-25 -0.499803E-16 -0.676506E-25  0.641372E-06 -0.155639E-29 -0.437663E-16 -0.171883E-29  0.113852E-06
   293.643      0.156736E-05  0.744167E-06  0.823198E-06  0.726632E-06  0.235271E-24 -0.450098E-16  0.247583E-24  0.715142E-06  0.191057E-30 -0.166150E-16 -0.114014E-29  0.125591E-06
   294.434      0.165964E-05  0.723694E-06  0.935947E-06  0.767613E-06  0.105286E-24  0.344204E-16  0.689863E-25  0.763657E-06  0.494841E-30  0.457261E-16  0.209623E-30  0.128370E-06
   295.244      0.149268E-05  0.704245E-06  0.788434E-06  0.691811E-06 -0.140666E-24 -0.174296E-16 -0.780761E-25  0.700470E-06 -0.883014E-30 -0.276495E-16 -0.879195E-30  0.100398E-06
   296.072      0.142387E-05  0.685768E-06  0.738099E-06  0.665344E-06  0.561563E-26  0.586788E-16 -0.808664E-26  0.662652E-06  0.100459E-29  0.468885E-16  0.142316E-29  0.958713E-07
   296.920      0.143345E-05  0.668234E-06  0.765218E-06  0.658376E-06  0.174155E-25  0.368096E-16  0.353876E-25  0.655073E-06  0.112371E-29  0.436170E-16  0.274958E-30  0.120003E-06
   297.787      0.130003E-05  0.651543E-06  0.648490E-06  0.580631E-06 -0.333552E-25 -0.112335E-15 -0.155589E-25  0.582632E-06 -0.253516E-29 -0.106757E-15 -0.142120E-29  0.136770E-06
   298.673      0.111765E-05  0.635653E-06  0.481994E-06  0.495715E-06 -0.188484E-25  0.150688E-15 -0.314419E-25  0.496999E-06  0.661060E-29  0.155995E-15  0.286727E-29  0.124933E-06
   299.577      0.103690E-05  0.620516E-06  0.416380E-06  0.466393E-06  0.198634E-25  0.821459E-16  0.521447E-25  0.463986E-06  0.245446E-29  0.960032E-16  0.156411E-29  0.106517E-06
   300.501      0.103973E-05  0.606065E-06  0.433669E-06  0.470636E-06  0.543745E-25 -0.109979E-15  0.415239E-25  0.467598E-06 -0.281038E-29 -0.100060E-15 -0.320588E-30  0.101501E-06
   301.444      0.983577E-06  0.592269E-06  0.391309E-06  0.436283E-06 -0.135845E-24  0.530218E-16 -0.132605E-24  0.441927E-06  0.981396E-30  0.619756E-16  0.207493E-30  0.105367E-06
   302.406      0.911847E-06  0.579076E-06  0.332771E-06  0.403382E-06  0.170224E-25  0.133754E-16  0.384849E-25  0.400301E-06  0.911685E-31  0.210324E-16  0.293463E-30  0.108164E-06
   303.387      0.920099E-06  0.566454E-06  0.353646E-06  0.404079E-06  0.207105E-25 -0.324489E-16  0.369193E-25  0.402604E-06 -0.855478E-30 -0.355361E-16 -0.510617E-30  0.113416E-06
   304.387      0.898394E-06  0.554361E-06  0.344034E-06  0.390502E-06 -0.599972E-26  0.456430E-16 -0.329669E-25  0.392911E-06  0.526347E-30  0.587976E-16  0.837117E-30  0.114982E-06
